x,y,z
121.1153862,24.50668,2108
121.11534,24.50683,2108
121.36,24.3,2110
121.11491,24.50736,2116
121.0997222,24.4886111,2117
121.3050153,24.40540894,2121
121.5296025,24.4958786,2121
121.529673,24.49590101,2121
121.3451101,24.39331623,2121
120.9185837,23.27858025,2123
121.471609,24.477839,2126
121.1100117,24.499175,2127
121.52952,24.49598,2132
121.1164439,24.50704349,2137
121.472357,24.477349,2138
121.472474,24.476852,2139
121.1159888,24.50728833,2140
121.5288235,24.49587529,2143
121.5288235,24.4958754,2143
121.1164334,24.50732323,2150
121.1162333,24.50773667,2152
121.1165388,24.5071,2154
121.1101445,24.50268833,2155
121.11031,24.50254,2155
121.1164763,24.50769176,2156
121.1162766,24.50777691,2156
121.1162796,24.50777626,2156
121.1166185,24.50737692,2157
121.1165862,24.50771167,2157
121.1119306,24.49131944,2158
121.1120261,24.49118698,2162
121.1120083,24.49120333,2162
121.1102575,24.50248731,2163
121.1104146,24.50251102,2163
121.1103055,24.50252,2163
121.1102528,24.50262167,2163
121.1103362,24.50257167,2163
121.47,24.46,2163
121.110275,24.50261667,2163
121.1102138,24.50263333,2163
121.1103138,24.50255833,2163
121.3325538,24.38473112,2164
120.93,23.69,2165
121.1108887,24.50254761,2166
121.5278224,24.49544079,2172
121.1108934,24.50267269,2172
121.472928,24.477014,2172
121.1120917,24.49118833,2181
121.5274365,24.49552416,2186
121.5268016,24.4958605,2193
121.11616,24.49077,2197
120.8096083,23.51674681,2198
121.1082035,24.5006308,2204
121.3030009,24.410762,2209
121.1073388,24.49850833,2217
121.0918,24.49448,2242
121.22,24.11,2246
121.299865,24.408042,2248
121.1143876,24.49219719,2263
121.522047,24.486368,2264
121.35108,24.37505,2264
121.3394167,24.391275,2270
121.383958,24.377542,2273
121.33934,24.39138,2277
120.9160338,23.27798843,2282
120.94,23.58,2283
121.3391633,24.39140333,2285
120.9158167,23.27721167,2291
120.9157467,23.27729667,2291
120.9154583,23.27773667,2297
120.899,23.4646,2304
120.914925,23.27692833,2305
120.9862651,23.24772244,2307
121.23,24.22,2308
121.1137859,24.4882396,2309
121.1142112,24.49066167,2311
121.1141805,24.49069167,2311
121.26,24.04,2316
121.2955333,24.38558333,2326
121.1133696,24.48777101,2328
120.9137717,23.27709667,2330
120.8144781,23.51345843,2331
121.233955,24.0475195,2336
121.4767179,24.46737679,2343
121.2285741,24.29913094,2348
121.0942612,24.49461167,2348
120.8156407,23.51269892,2354
121.3378833,24.39071944,2362
120.9846935,23.24982512,2363
121.0877776,24.4997148,2364
121.0818443,24.50063872,2384
120.8870343,23.4906715,2393
120.8175644,23.51271728,2394
120.8132333,23.50861167,2405
120.9972222,23.4972222,2426
120.8238667,23.50845833,2427
121.0296,24.29768,2432
120.8211431,23.51254908,2442
120.9502778,23.2686111,2455
120.8226557,23.5070555,2466
121.28962,24.38667,2479
121.27,24.38,2490
121.258577,24.488358,2493
121.26,24.11,2501
121.3980556,24.3805556,2509
121.3307639,24.39906944,2520
121.2624881,24.34727308,2530
121.3306496,24.39857831,2530
121.2,23.78,2561
121.2522258,24.04430127,2570
120.89312,23.49416667,2575
120.89312,23.49422,2575
120.89312,23.49423,2575
120.8931184,23.49428404,2575
121.2522667,24.0443195,2577
120.8843082,23.26368856,2582
121.21,23.8,2583
121.22,23.82,2583
121.2856343,24.38499481,2588
120.8069649,23.53603535,2589
121.4,24.38,2592
121.23756,24.22051,2592
120.8097617,23.5356,2593
121.3071533,24.416175,2597
121.0263278,24.280645,2597
121.2857461,24.38533295,2598
121.0270704,24.28112187,2601
121.3269738,24.39385128,2603
121,23.33,2604
121.027519,24.28275324,2605
121.0268638,24.28208833,2608
121.27,24.04,2611
120.8999932,23.4758352,2615
121.32898,24.3984,2617
120.8905771,23.48761743,2620
121.0278864,24.2832193,2620
121.0127185,24.26788525,2622
121.24,24.46,2623
121.333607,24.483236,2624
121.257196,24.478682,2626
121.2902778,24.1044444,2637
121.3890791,24.37003813,2637
120.8874952,23.47363448,2638
121.0295523,24.28730626,2643
120.8983333,23.4758333,2658
121.2,23.77,2660
120.8903866,23.48599584,2663
120.8903799,23.48613739,2663
120.8903845,23.48616141,2663
120.8903717,23.486045,2663
120.8904117,23.48597833,2663
120.8903111,23.48529722,2671
120.8904334,23.48596001,2672
121.13,24.19,2673
120.8931163,23.48068723,2680
121.22,23.79,2681
121.01,23.33,2683
120.8883045,23.47912741,2684
121.26,24.48,2685
120.8900532,23.4845157,2686
121.288441,24.422456,2688
120.889358,23.48318776,2693
120.8854533,23.47341167,2697
120.88987,23.48392833,2697
121.22,23.81,2699
121.3812333,24.08279035,2702
120.889795,23.48376833,2703
120.8897951,23.48379049,2703
120.8898468,23.48394144,2703
120.8897968,23.48385472,2703
120.8897625,23.48380116,2703
120.8956,23.4981,2705
121.3772636,24.36877171,2706
120.8894806,23.48364167,2710
121.26,23.88,2715
121.3044829,24.17996393,2717
121.3869033,24.37033,2721
120.8887167,23.47432833,2723
121.3867556,24.370275,2726
121.3866889,24.37035278,2726
120.8944642,23.47305742,2729
120.8848733,23.474175,2737
121.167031,24.22451,2745
120.8955833,23.49877833,2747
120.896155,23.49966333,2753
121.21,23.75,2756
120.8748074,23.46852319,2761
120.8936231,23.47779653,2761
121.2372291,24.11800274,2762
120.951241,23.281314,2770
120.9877694,23.25680809,2773
120.8843222,23.47343333,2774
120.8743833,23.4684,2775
120.8891872,23.35490574,2779
120.884025,23.47317833,2784
121.0200322,23.26132029,2792
120.9090019,23.47288349,2792
120.9080667,23.473105,2797
120.9080417,23.47315,2797
121.21,23.78,2797
121.14,23.49,2798
121.243905,24.457242,2799
121.2438889,24.4572222,2799
120.9105917,23.47196167,2800
120.8952327,23.4760194,2801
120.9107667,23.47163833,2803
121.27,23.9,2808
120.870424,23.46230552,2808
121.15,23.86,2813
120.8897167,23.47578333,2814
121.26,23.89,2820
120.882155,23.46858833,2821
120.882155,23.46873333,2821
120.8739,23.46833833,2824
120.8725883,23.46374167,2826
121.15,23.48,2834
121.26,24.13,2834
120.93951,23.25921,2834
120.8913794,23.47571706,2835
121.2836,24.3881,2838
121.28,24.2,2839
120.8920833,23.47556167,2839
121.28,24.03,2845
120.893245,23.47547396,2845
120.9150202,23.47082785,2846
